IndustryCode,CommodityCode,PercentUsed,Note
813B00/US,562920/US,0.0288,"Commodity disaggregation, Not-for-profit organizations"
813B00/US,562OTH/US,0.0672,"Commodity disaggregation, Not-for-profit organizations"
S00203/US,562111/US,0.469,"Commodity disaggregation, State and local governments"
S00203/US,562HAZ/US,0.0613,"Commodity disaggregation, State and local governments"
S00203/US,562212/US,0.0583,"Commodity disaggregation, State and local governments"
S00203/US,562213/US,0.0278,"Commodity disaggregation, State and local governments"
S00203/US,562910/US,0.212,"Commodity disaggregation, State and local governments"
S00203/US,562920/US,0.0438,"Commodity disaggregation, State and local governments"
S00203/US,562OTH/US,0.128,"Commodity disaggregation, State and local governments"
GSLGE/US,562111/US,0.469,"Commodity disaggregation, State and local governments"
GSLGE/US,562HAZ/US,0.0613,"Commodity disaggregation, State and local governments"
GSLGE/US,562212/US,0.0583,"Commodity disaggregation, State and local governments"
GSLGE/US,562213/US,0.0278,"Commodity disaggregation, State and local governments"
GSLGE/US,562910/US,0.212,"Commodity disaggregation, State and local governments"
GSLGE/US,562920/US,0.0438,"Commodity disaggregation, State and local governments"
GSLGE/US,562OTH/US,0.128,"Commodity disaggregation, State and local governments"
GSLGH/US,562111/US,0.469,"Commodity disaggregation, State and local governments"
GSLGH/US,562HAZ/US,0.0613,"Commodity disaggregation, State and local governments"
GSLGH/US,562212/US,0.0583,"Commodity disaggregation, State and local governments"
GSLGH/US,562213/US,0.0278,"Commodity disaggregation, State and local governments"
GSLGH/US,562910/US,0.212,"Commodity disaggregation, State and local governments"
GSLGH/US,562920/US,0.0438,"Commodity disaggregation, State and local governments"
GSLGH/US,562OTH/US,0.128,"Commodity disaggregation, State and local governments"
GSLGO/US,562111/US,0.469,"Commodity disaggregation, State and local governments"
GSLGO/US,562HAZ/US,0.0613,"Commodity disaggregation, State and local governments"
GSLGO/US,562212/US,0.0583,"Commodity disaggregation, State and local governments"
GSLGO/US,562213/US,0.0278,"Commodity disaggregation, State and local governments"
GSLGO/US,562910/US,0.212,"Commodity disaggregation, State and local governments"
GSLGO/US,562920/US,0.0438,"Commodity disaggregation, State and local governments"
GSLGO/US,562OTH/US,0.128,"Commodity disaggregation, State and local governments"
562111/US,V00100/US,0.458,VA disaggregation
562HAZ/US,V00100/US,0.0209,VA disaggregation
562212/US,V00100/US,0.0805,VA disaggregation
562213/US,V00100/US,0.0138,VA disaggregation
562910/US,V00100/US,0.205,VA disaggregation
562920/US,V00100/US,0.071,VA disaggregation
562OTH/US,V00100/US,0.151,VA disaggregation
562111/US,V00200/US,0.458,VA disaggregation
562HAZ/US,V00200/US,0.0209,VA disaggregation
562212/US,V00200/US,0.0805,VA disaggregation
562213/US,V00200/US,0.0138,VA disaggregation
562910/US,V00200/US,0.205,VA disaggregation
562920/US,V00200/US,0.071,VA disaggregation
562OTH/US,V00200/US,0.151,VA disaggregation
562111/US,V00300/US,0.458,VA disaggregation
562HAZ/US,V00300/US,0.0209,VA disaggregation
562212/US,V00300/US,0.0805,VA disaggregation
562213/US,V00300/US,0.0138,VA disaggregation
562910/US,V00300/US,0.205,VA disaggregation
562920/US,V00300/US,0.071,VA disaggregation
562OTH/US,V00300/US,0.151,VA disaggregation
