key_kind,source_industry,destination_industry,commodity,row_code,share
C2,,,,541100,-0.23647607536881923
C2,,,,541800,0.342109886182683
C2,,,,561300,0.26692645820266975
C2,,,,V00100,-3.9807730773095926
C2,,,,V00300,1.4149620794206195
C3,221100,233240,,1111B0,-2.6020629501180798e-05
C3,221100,233240,,111300,-2.017103062107039e-07
C3,221100,233240,,111400,-7.328876174988618e-08
C3,221100,233240,,111900,-7.261571023585339e-06
C3,221100,233240,,112120,-1.6136824496856311e-06
C3,221100,233240,,1121A0,-5.284810022720442e-05
C3,221100,233240,,112300,-1.2102618372642233e-06
C3,221100,233240,,112A00,-0.00011396632300904769
C3,221100,233240,,113000,-4.437626736635486e-06
C3,221100,233240,,114000,-4.0342061242140775e-06
C3,221100,233240,,115000,-4.941902502162245e-05
C3,221100,233240,,211000,-0.010293364408092233
C3,221100,233240,,212100,0.0011183678525509807
C3,221100,233240,,212230,-3.0054835625394875e-05
C3,221100,233240,,2122A0,-2.9853125319184175e-05
C3,221100,233240,,212310,-0.0002519419161141172
C3,221100,233240,,2123A0,-0.0016540788135096134
C3,221100,233240,,21311A,-4.437626736635486e-06
C3,221100,233240,,221100,0.038800258339836725
C3,221100,233240,,221200,-0.0030648649017983526
C3,221100,233240,,221300,-0.00446700596588429
C3,221100,233240,,230301,-0.0024582841040318463
C3,221100,233240,,321100,-1.3465911595813581e-05
C3,221100,233240,,321200,-3.2411065421993657e-06
C3,221100,233240,,321910,-3.9857438509327335e-05
C3,221100,233240,,3219A0,0.0004652297052786815
C3,221100,233240,,327100,-2.8398302539591623e-05
C3,221100,233240,,327200,-0.00013083216958808852
C3,221100,233240,,327310,-4.191818057730571e-06
C3,221100,233240,,327320,-0.00012889751832922708
C3,221100,233240,,327330,-1.2393066186830395e-05
C3,221100,233240,,327390,-0.00016382747657323198
C3,221100,233240,,327400,-2.3388775058400032e-05
C3,221100,233240,,327910,-1.4092554860594494e-05
C3,221100,233240,,327991,-9.278674085692379e-06
C3,221100,233240,,327993,-4.0342061242140775e-06
C3,221100,233240,,327999,-3.429075205581966e-06
C3,221100,233240,,331110,-3.065996654402699e-05
C3,221100,233240,,331313,-4.437626736635486e-06
C3,221100,233240,,331410,-1.7548796640331236e-05
C3,221100,233240,,331420,-1.8332207051429405e-06
C3,221100,233240,,331490,-1.3123428822951257e-05
C3,221100,233240,,331520,-8.068412248428156e-07
C3,221100,233240,,332114,-4.580547609367886e-09
C3,221100,233240,,33211A,-8.875253473270971e-06
C3,221100,233240,,332119,-0.0007420549177918359
C3,221100,233240,,332200,-0.0004180455997563402
C3,221100,233240,,332310,-0.012817706413634923
C3,221100,233240,,332320,-0.00011871302896061548
C3,221100,233240,,332410,-4.841047349056893e-06
C3,221100,233240,,332430,-4.961349788590672e-05
C3,221100,233240,,332500,-0.00020097270673580616
C3,221100,233240,,332600,-1.5655584741776618e-05
C3,221100,233240,,332710,-0.00021570257690144238
C3,221100,233240,,332720,-2.2828456708961037e-05
C3,221100,233240,,332800,-7.593825945394615e-05
C3,221100,233240,,332913,-1.2668231466189502e-05
C3,221100,233240,,33291A,-0.0008488881556422806
C3,221100,233240,,332991,-2.5179052908864888e-05
C3,221100,233240,,332996,-1.2148423848735913e-06
C3,221100,233240,,332999,-0.0004717334680493546
C3,221100,233240,,333111,-9.682094698113786e-06
C3,221100,233240,,333112,-1.691114252161067e-05
C3,221100,233240,,333120,-7.261571023585339e-06
C3,221100,233240,,333130,-8.068412248428156e-07
C3,221100,233240,,333242,-1.9767610008648983e-05
C3,221100,233240,,33329A,-0.0011299098969517675
C3,221100,233240,,333318,-8.723647682369133e-06
C3,221100,233240,,333414,-4.437626736635486e-06
C3,221100,233240,,333415,-0.0010535420804786936
C3,221100,233240,,333413,-5.647888573899708e-06
C3,221100,233240,,333511,-1.0690646229167306e-05
C3,221100,233240,,33351B,-4.5860775749332425e-06
C3,221100,233240,,333611,0.0004269021013223049
C3,221100,233240,,333612,-0.0007271509411587892
C3,221100,233240,,333613,-9.883805004324492e-06
C3,221100,233240,,333618,-0.0004138292197872025
C3,221100,233240,,333912,-1.1278409464062868e-05
C3,221100,233240,,333914,-0.00014176090800002385
C3,221100,233240,,333920,-0.00020420402569449106
C3,221100,233240,,333991,-2.017103062107039e-07
C3,221100,233240,,33399A,8.939647004046912e-06
C3,221100,233240,,33399B,-2.0171030621070387e-06
C3,221100,233240,,334111,-2.231602955902513e-06
C3,221100,233240,,334118,-0.00037302426408146374
C3,221100,233240,,334220,-3.310844949543119e-05
C3,221100,233240,,334290,-2.0211893685255405e-06
C3,221100,233240,,334413,6.377887794893452e-05
C3,221100,233240,,334418,-0.0004070313690763331
C3,221100,233240,,33441A,-0.0009441831417278063
C3,221100,233240,,334512,-8.068412248428156e-07
C3,221100,233240,,334513,-0.00012868159313233492
C3,221100,233240,,334514,-0.0002700385483721334
C3,221100,233240,,334516,-4.0342061242140775e-06
C3,221100,233240,,334517,-6.051309186321116e-07
C3,221100,233240,,33451A,-8.471832860849562e-06
C3,221100,233240,,334300,-5.4162233652073906e-05
C3,221100,233240,,334610,-8.148205039286365e-06
C3,221100,233240,,335110,-7.912773963111589e-06
C3,221100,233240,,335120,-0.0001356426777473246
C3,221100,233240,,335220,-9.161095218735772e-08
C3,221100,233240,,335312,-3.733973059219605e-05
C3,221100,233240,,335313,-1.438626638147868e-05
C3,221100,233240,,335314,1.7908749173853232e-06
C3,221100,233240,,335911,-0.00011008538610270089
C3,221100,233240,,335920,-6.629675440314757e-06
C3,221100,233240,,335930,-7.266151571194707e-06
C3,221100,233240,,335991,-6.656440104953229e-06
C3,221100,233240,,335999,-2.0171030621070387e-06
C3,221100,233240,,336214,-1.2102618372642233e-06
C3,221100,233240,,336310,-0.0007113116937430545
C3,221100,233240,,336320,-0.001382852984132035
C3,221100,233240,,336350,-0.0022975763371231046
C3,221100,233240,,336370,-5.0024155940254566e-05
C3,221100,233240,,336390,-0.001796488718262601
C3,221100,233240,,3363A0,-0.00044119344507302335
