source_industry,commodity,destination_industry,share,delta,rule_id,va_mix
515100,4B0000,4B0000,1.0,76000000.0,default,
515100,541511,541511,1.0,166000000.0,default,
515100,541700,541700,1.0,1836000000.0,default,
515200,233240,233240,1.0,343000000.0,default,
515200,4B0000,4B0000,1.0,92000000.0,default,
515200,541511,541511,1.0,80000000.0,default,
515200,541700,541700,1.0,672000000.0,default,
517110,233240,233240,1.0,579000000.0,C3,
517110,423800,423800,1.0,41000000.0,default,
517110,4B0000,4B0000,1.0,241000000.0,default,
517110,518200,518200,1.0,7000000.0,default,
517110,532400,532400,1.0,9471000000.0,default,
517110,541511,541511,1.0,1154000000.0,default,
517110,541512,541512,1.0,42000000.0,default,
517110,5416A0,5416A0,1.0,2000000.0,default,
517110,541700,541700,1.0,1898000000.0,default,
517110,811200,811200,1.0,243000000.0,default,
517210,233240,233240,1.0,72000000.0,C3,
517210,423800,423800,1.0,1000000.0,default,
517210,4B0000,4B0000,1.0,7657000000.0,default,
517210,532400,532400,1.0,1358000000.0,default,
517210,541511,541511,1.0,238000000.0,default,
517210,541512,541512,1.0,13000000.0,default,
517210,541700,541700,1.0,397000000.0,default,
517210,811200,811200,1.0,255000000.0,default,
517A00,233240,233240,1.0,217000000.0,C3,
517A00,423800,423800,1.0,85000000.0,default,
517A00,4B0000,4B0000,1.0,1087000000.0,default,
517A00,532400,532400,1.0,64000000.0,default,
517A00,541511,541511,1.0,179000000.0,default,
517A00,541512,541512,1.0,127000000.0,default,
517A00,541700,541700,1.0,332000000.0,default,
517A00,811200,811200,1.0,215000000.0,default,
518200,233240,233240,1.0,531000000.0,default,
518200,334290,334290,1.0,463000000.0,default,
518200,423400,423400,1.0,522000000.0,default,
518200,4B0000,4B0000,1.0,104000000.0,default,
518200,517110,517110,0.9572559366754617,1814000000.0,default,
518200,517A00,517A00,1.0,3000000.0,default,
518200,541511,541511,1.0,5094000000.0,default,
518200,541512,541512,1.0,5302000000.0,default,
518200,54151A,54151A,1.0,1905000000.0,default,
518200,541300,541300,1.0,41000000.0,default,
518200,541700,541700,1.0,9556000000.0,default,
518200,811200,811200,1.0,73000000.0,default,
519130,2332A0,2332A0,1.0,1000000.0,default,
519130,423400,423400,1.0,2106000000.0,default,
519130,454000,454000,1.0,21000000.0,default,
519130,541511,541511,1.0,392000000.0,default,
519130,541700,541700,1.0,10629000000.0,default,
5191A0,4B0000,4B0000,1.0,1000000.0,default,
5191A0,541511,541511,1.0,107000000.0,default,
5191A0,541700,541700,1.0,1482000000.0,default,
5191A0,541800,541800,0.9548872180451128,127000000.0,default,
522A00,2332A0,2332A0,1.0,1000000.0,default,
522A00,541511,541511,1.0,1157000000.0,default,
522A00,541700,541700,1.0,748000000.0,default,
52A000,2332A0,2332A0,1.0,1000000.0,default,
52A000,541511,541511,1.0,1979000000.0,default,
52A000,541700,541700,1.0,1198000000.0,default,
523900,541511,541511,1.0,660000000.0,default,
523900,541700,541700,1.0,308000000.0,default,
523A00,541511,541511,1.0,641000000.0,default,
523A00,541700,541700,1.0,795000000.0,default,
524113,541511,541511,1.0,325000000.0,default,
524113,541700,541700,1.0,365000000.0,default,
5241XX,2332A0,2332A0,1.0,2000000.0,default,
5241XX,541511,541511,1.0,1282000000.0,default,
5241XX,541700,541700,1.0,1360000000.0,default,
524200,2332A0,2332A0,1.0,1000000.0,default,
524200,523900,523900,1.0,845000000.0,default,
524200,523A00,523A00,1.0,495000000.0,default,
524200,541100,541100,1.0,77000000.0,default,
524200,541511,541511,1.0,1166000000.0,default,
524200,541700,541700,1.0,483000000.0,default,
525000,541511,541511,1.0,2000000.0,default,
525000,541700,541700,1.0,4000000.0,default,
531HSO,2332A0,2332A0,1.0,64000000.0,default,
531HST,2332A0,2332A0,1.0,1000000.0,default,
