napcs_code,bea_2017_commodity,weight,resolution,napcs_description
1001525000,212310,1.0,NAICS_2012_Code,"Quarrying of crushed and broken granite, including gneiss, syenite, and diorite"
1001550000,212310,1.0,NAICS_2012_Code,Quarrying of bituminous limestone and bituminous sandstone
1001575000,212310,1.0,NAICS_2012_Code,"Quarrying of other crushed and broken stone, including slate, marble, trap rock, quartz, and miscellaneous types of stone"
1001600000,213111,1.0,NAICS_2012_Code,Oil and gas well directional drilling control
1001625000,213111,1.0,NAICS_2012_Code,"Drilling oil and gas wells, including drilling in, spudding in, or tailing in"
1001650000,213111,1.0,NAICS_2012_Code,Reworking oil and gas wells
1001675000,21311A,1.0,NAICS_2012_Code,"Oil and gas field exploration services, excluding mapping and surveying services"
1001700000,21311A,1.0,NAICS_2012_Code,Cementing oil and gas wells
1001725000,21311A,1.0,NAICS_2012_Code,Oil and gas well logging
1001750000,21311A,1.0,NAICS_2012_Code,Hydraulic fracturing of oil and gas wells
1001775000,21311A,1.0,NAICS_2012_Code,"Running, cutting, and pulling casings, tubes, or rods for oil and gas wells"
1001800000,21311A,1.0,NAICS_2012_Code,Oil and gas field gathering services
1001825000,21311A,1.0,NAICS_2012_Code,Perforating oil and gas well casings
1001850000,21311A,1.0,NAICS_2012_Code,"Installing oil and gas field production equipment, including wellhead fittings, pumps, and engines"
1001875000,21311A,1.0,NAICS_2012_Code,Pumping oil and gas wells but not operating leases
1001900000,21311A,1.0,NAICS_2012_Code,Other oil and gas field repair and maintenance services
1001925000,21311A,1.0,NAICS_2012_Code,All other oil and gas field services 
1001950000,21311A,1.0,NAICS_2012_Code,Coal mining prospect and test drilling services
1001975000,21311A,1.0,NAICS_2012_Code,Sinking coal mine shafts and driving coal mine tunnels services
1002000000,21311A,1.0,NAICS_2012_Code,"Other coal mining services, including strip, auger or underground mining, drilling, overburden stripping, recovering culm bank, and repair and maintenance services not for your own account"
1002025000,21311A,1.0,NAICS_2012_Code,"Metal mining exploration work, excluding prospect services, test drilling, and geophysical surveying services"
1002050000,21311A,1.0,NAICS_2012_Code,Open-pit metal ores mining not for your own account
1002075000,21311A,1.0,NAICS_2012_Code,Metal mining prospect services and test drilling services
1002100000,21311A,1.0,NAICS_2012_Code,Sinking metal mine shafts and driving metal mine tunnels services
1002125000,21311A,1.0,NAICS_2012_Code,"Other metal mining services, including overburden stripping and repair and maintenance services"
1002150000,21311A,1.0,NAICS_2012_Code,Open-pit or quarry nonmetallic minerals mining not for your own account
1002175000,21311A,1.0,NAICS_2012_Code,Nonmetallic mineral prospect services and test drilling services
1002200000,21311A,1.0,NAICS_2012_Code,"Other nonmetallic mineral services, including overburden stripping, drilling services, blasting, and repair and maintenance services"
2000025000,31161A,1.0,NAICS_2012_Code,"Manufacturing of beef, fresh and frozen whole carcass and half carcass, not canned or made into sausage"
2000050000,31161A,1.0,NAICS_2012_Code,"Manufacturing of veal, fresh and frozen whole carcass and half carcass, not canned or made into sausage"
2000075000,31161A,1.0,NAICS_2012_Code,"Manufacturing of pork, fresh and frozen whole carcass and half carcass, not canned or made into sausage"
2000100000,31161A,1.0,NAICS_2012_Code,"Manufacturing of lamb, mutton, and other meat, fresh and frozen whole carcass and half carcass"
2000125000,31161A,1.0,NAICS_2012_Code,"Manufacturing of beef, fresh and frozen variety meats (edible organs), not canned or made into sausage"
2000150000,31161A,1.0,NAICS_2012_Code,"Manufacturing of beef, fresh and frozen primal cuts, subprimal cuts (boxed beef), boneless, and corned beef, not canned or made into sausage"
2000175000,31161A,1.0,NAICS_2012_Code,"Manufacturing of veal, not canned or made into sausage"
2000175003,31161A,1.0,NAICS_2012_Code,"Manufacturing of veal, fresh and frozen primal, subprimal, fabricated cuts, and boneless, not canned or made into sausage"
2000175006,31161A,1.0,NAICS_2012_Code,"Manufacturing of veal, other fresh and frozen edible meats (including edible organs), not canned or made into sausage"
2000200000,31161A,1.0,NAICS_2012_Code,"Manufacturing of pork, fresh and frozen cuts"
2000200003,31161A,1.0,NAICS_2012_Code,"Manufacturing of pork, fresh and frozen primal and fabricated cuts (including trimmings), not canned or made into sausage"
2000200006,31161A,1.0,NAICS_2012_Code,"Manufacturing of pork, fresh and frozen variety meats (edible organs), not canned or made into sausage"
2000225000,311615,1.0,NAICS_2012_Code,"Manufacturing of young chickens (usually under 20 weeks of age), including bulk, chilled, frozen, whole, and parts"
2000250000,311615,1.0,NAICS_2012_Code,"Manufacturing of hens and fowl, including frozen, whole, and parts"
2000275000,311615,1.0,NAICS_2012_Code,"Manufacturing of turkeys, including frozen, whole, and parts"
2000300000,311615,1.0,NAICS_2012_Code,"Manufacturing of other poultry and small game, including frozen, whole, and parts"
2000325000,31161A,1.0,NAICS_2012_Code,"Manufacturing of other meat, fresh and frozen cuts"
2000325003,31161A,1.0,NAICS_2012_Code,"Manufacturing of lamb and mutton, fresh and frozen primal cuts and all other edible meats, not canned or made into sausage"
2000325006,31161A,1.0,NAICS_2012_Code,"Manufacturing of other fresh and frozen meats, including horsemeat for human consumption"
2000350000,311615,1.0,NAICS_2012_Code,"Manufacturing of processed poultry and small game (excluding soups), containing 20 percent or more poultry or meat"
2000375000,31161A,1.0,NAICS_2012_Code,"Manufacturing of pork, processed or cured, not canned or made into sausage"
2000375003,31161A,1.0,NAICS_2012_Code,"Manufacturing of pork, sweet-pickled or dry-cured (excluding smoked, cooked, canned, or pork made into sausage)"
2000375006,31161A,1.0,NAICS_2012_Code,"Manufacturing of pork, dry salt, not canned or made into sausage"
2000375009,31161A,1.0,NAICS_2012_Code,"Manufacturing of pork, smoked hams and picnics, excluding canned"
2000375012,31161A,1.0,NAICS_2012_Code,"Manufacturing of pork, smoked slab bacon"
2000375015,31161A,1.0,NAICS_2012_Code,"Manufacturing of pork, smoked sliced bacon"
