ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Note
BEA_NIPA,Processed fruits and vegetables,NAICS_2017_Code,,,
BEA_NIPA,Sugar and sweets,NAICS_2017_Code,,,
BEA_NIPA,"Food products, not elsewhere classified",NAICS_2017_Code,,,
BEA_NIPA,Nonalcoholic beverages purchased for off-premises consumption,NAICS_2017_Code,,,
BEA_NIPA,"Coffee, tea, and other beverage materials",NAICS_2017_Code,,,
BEA_NIPA,"Mineral waters, soft drinks, and vegetable juices",NAICS_2017_Code,,,
BEA_NIPA,Alcoholic beverages purchased for off-premises consumption (5),NAICS_2017_Code,,,
BEA_NIPA,Spirits,NAICS_2017_Code,,,
BEA_NIPA,Wine,NAICS_2017_Code,,,
BEA_NIPA,Beer,NAICS_2017_Code,,,
BEA_NIPA,Food produced and consumed on farms (6),NAICS_2017_Code,,,
BEA_NIPA,Clothing and footwear,NAICS_2017_Code,,,
BEA_NIPA,Garments,NAICS_2017_Code,,,
BEA_NIPA,Women's and girls' clothing,NAICS_2017_Code,,,
BEA_NIPA,Men's and boys' clothing,NAICS_2017_Code,,,
BEA_NIPA,Children's and infants' clothing,NAICS_2017_Code,,,
BEA_NIPA,Other clothing materials and footwear (13 and 17),NAICS_2017_Code,,,
BEA_NIPA,Clothing materials,NAICS_2017_Code,,,
BEA_NIPA,Standard clothing issued to military personnel,NAICS_2017_Code,,,
BEA_NIPA,Shoes and other footwear,NAICS_2017_Code,,,
BEA_NIPA,Gasoline and other energy goods,NAICS_2017_Code,,,
BEA_NIPA,"Motor vehicle fuels, lubricants, and fluids",NAICS_2017_Code,,,
BEA_NIPA,Gasoline and other motor fuel,NAICS_2017_Code,,,
BEA_NIPA,Lubricants and fluids,NAICS_2017_Code,,,
BEA_NIPA,Fuel oil and other fuels,NAICS_2017_Code,,,
BEA_NIPA,Fuel oil,NAICS_2017_Code,,,
BEA_NIPA,Other fuels,NAICS_2017_Code,,,
BEA_NIPA,Other nondurable goods,NAICS_2017_Code,,,
BEA_NIPA,Pharmaceutical and other medical products (40 and 41),NAICS_2017_Code,,,
BEA_NIPA,Pharmaceutical products,NAICS_2017_Code,,,
BEA_NIPA,Prescription drugs,NAICS_2017_Code,,,
BEA_NIPA,Nonprescription drugs,NAICS_2017_Code,,,
BEA_NIPA,Other medical products,NAICS_2017_Code,,,
BEA_NIPA,"Recreational items (parts of 80, 92, and 93)",NAICS_2017_Code,,,
BEA_NIPA,"Games, toys, and hobbies",NAICS_2017_Code,,,
BEA_NIPA,Pets and related products,NAICS_2017_Code,,,
BEA_NIPA,"Flowers, seeds, and potted plants",NAICS_2017_Code,,,
BEA_NIPA,Film and photographic supplies,NAICS_2017_Code,,,
BEA_NIPA,Household supplies (parts of 32 and 36),NAICS_2017_Code,,,
BEA_NIPA,Household cleaning products,NAICS_2017_Code,,,
BEA_NIPA,Household paper products,NAICS_2017_Code,,,
BEA_NIPA,Household linens,NAICS_2017_Code,,,
BEA_NIPA,Sewing items,NAICS_2017_Code,,,
BEA_NIPA,Miscellaneous household products,NAICS_2017_Code,,,
BEA_NIPA,Personal care products (part of 118),NAICS_2017_Code,,,
BEA_NIPA,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",NAICS_2017_Code,,,
BEA_NIPA,Cosmetic / perfumes / bath / nail preparations and implements,NAICS_2017_Code,,,
BEA_NIPA,Electric appliances for personal care,NAICS_2017_Code,,,
BEA_NIPA,Tobacco (127),NAICS_2017_Code,,,
BEA_NIPA,"Magazines, newspapers, and stationery (part of 90)",NAICS_2017_Code,,,
BEA_NIPA,Newspapers and periodicals,NAICS_2017_Code,,,
BEA_NIPA,Stationery and miscellaneous printed materials,NAICS_2017_Code,,,
BEA_NIPA,Net expenditures abroad by U.S. residents (131),NAICS_2017_Code,,,
BEA_NIPA,Expenditures abroad by U.S. residents,NAICS_2017_Code,,,
BEA_NIPA,Government employees' expenditures abroad,NAICS_2017_Code,,,
BEA_NIPA,Private employees' expenditures abroad,NAICS_2017_Code,,,
BEA_NIPA,Less: Personal remittances in kind to nonresidents,NAICS_2017_Code,,,
BEA_NIPA,Services,NAICS_2017_Code,,,
BEA_NIPA,Household consumption expenditures (for services),NAICS_2017_Code,,,
BEA_NIPA,Housing and utilities,NAICS_2017_Code,,,
BEA_NIPA,Housing,NAICS_2017_Code,,,
BEA_NIPA,Rental of tenant-occupied nonfarm housing (20),NAICS_2017_Code,,,
BEA_NIPA,Tenant-occupied mobile homes,NAICS_2017_Code,,,
BEA_NIPA,Tenant-occupied stationary homes and landlord durables,NAICS_2017_Code,,,
BEA_NIPA,"Tenant-occupied, including landlord durables",NAICS_2017_Code,,,
BEA_NIPA,Imputed rental of owner-occupied nonfarm housing (21),NAICS_2017_Code,,,
BEA_NIPA,Owner-occupied mobile homes,NAICS_2017_Code,,,
BEA_NIPA,Owner-occupied stationary homes,NAICS_2017_Code,,,
BEA_NIPA,Rental value of farm dwellings (22),NAICS_2017_Code,,,
BEA_NIPA,Group housing (23),NAICS_2017_Code,,,
BEA_NIPA,Household utilities,NAICS_2017_Code,,,
BEA_NIPA,Water supply and sanitation (25),NAICS_2017_Code,,,
BEA_NIPA,Water supply and sewage maintenance,NAICS_2017_Code,,,
BEA_NIPA,Garbage and trash collection,NAICS_2017_Code,,,
BEA_NIPA,Electricity and gas,NAICS_2017_Code,,,
BEA_NIPA,Electricity (27),NAICS_2017_Code,,,
BEA_NIPA,Natural gas (28),NAICS_2017_Code,,,
BEA_NIPA,Health care,NAICS_2017_Code,,,
BEA_NIPA,Outpatient services,NAICS_2017_Code,,,
BEA_NIPA,Physician services (44),NAICS_2017_Code,,,
BEA_NIPA,Dental services (45),NAICS_2017_Code,,,
BEA_NIPA,Paramedical services (46),NAICS_2017_Code,,,
BEA_NIPA,Home health care,NAICS_2017_Code,,,
BEA_NIPA,Medical laboratories,NAICS_2017_Code,,,
BEA_NIPA,Other professional medical services,NAICS_2017_Code,,,
