ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Notes,Table
UMD_GHGIA,Fuel Oil Residential and Commercial,NAICS_2017_Code,52,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Commercial,NAICS_2017_Code,53,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Residential and Commercial,NAICS_2017_Code,53,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Commercial,NAICS_2017_Code,54,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Residential and Commercial,NAICS_2017_Code,54,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Commercial,NAICS_2017_Code,55,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Residential and Commercial,NAICS_2017_Code,55,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Commercial,NAICS_2017_Code,56,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Residential and Commercial,NAICS_2017_Code,56,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Commercial,NAICS_2017_Code,61,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Residential and Commercial,NAICS_2017_Code,61,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Commercial,NAICS_2017_Code,62,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Residential and Commercial,NAICS_2017_Code,62,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Commercial,NAICS_2017_Code,71,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Residential and Commercial,NAICS_2017_Code,71,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Commercial,NAICS_2017_Code,72,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Residential and Commercial,NAICS_2017_Code,72,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Commercial,NAICS_2017_Code,81,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Residential and Commercial,NAICS_2017_Code,81,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Commercial,NAICS_2017_Code,S00102,,S00102,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Residential and Commercial,NAICS_2017_Code,S00102,,S00102,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Commercial,NAICS_2017_Code,GSLGE,,GSLGE,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Residential and Commercial,NAICS_2017_Code,GSLGE,,GSLGE,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Commercial,NAICS_2017_Code,GSLGH,,GSLGH,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Fuel Oil Residential and Commercial,NAICS_2017_Code,GSLGH,,GSLGH,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,2213,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,42,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,44,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,45,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,493,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,51,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,52,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,53,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,54,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,55,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,56,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
