ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Notes,Table
UMD_GHGIA_Facilities,Natural Gas Industrial,NAICS_2017_Code,33,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA_Facilities,Natural Gas Industrial - Manufacturing,NAICS_2017_Code,31,,"31, 32, 33",EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Natural Gas Industrial - Manufacturing,NAICS_2017_Code,32,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Natural Gas Industrial - Manufacturing,NAICS_2017_Code,33,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Industrial,NAICS_2017_Code,11,,"11, 21, 2212, 23, 31, 32, 33",EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Industrial,NAICS_2017_Code,21,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Industrial,NAICS_2017_Code,2212,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Industrial,BEA_2017_Code,23,,23,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Industrial,NAICS_2017_Code,31,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Industrial,NAICS_2017_Code,32,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Industrial,NAICS_2017_Code,33,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Natural Gas Commercial,NAICS_2017_Code,2213,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA_Facilities,Natural Gas Residential and Commercial,NAICS_2017_Code,2213,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA_Facilities,Natural Gas Commercial,NAICS_2017_Code,42,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA_Facilities,Natural Gas Residential and Commercial,NAICS_2017_Code,42,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA_Facilities,Natural Gas Commercial,NAICS_2017_Code,44,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
