ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Notes,Table
EPA_GHGI_Cornerstone_mobile_combustion,Medium- and Heavy-Duty Trucks - Distillate Fuel Oil,NAICS_2017_Code,GSLGE,,GSLGE,EPA_GHGI_T_3_13
EPA_GHGI_Cornerstone_mobile_combustion,Medium- and Heavy-Duty Trucks - Distillate Fuel Oil,NAICS_2017_Code,GSLGH,,GSLGH,EPA_GHGI_T_3_13
EPA_GHGI_Cornerstone_mobile_combustion,Medium- and Heavy-Duty Trucks - Distillate Fuel Oil,NAICS_2017_Code,S00102,,,EPA_GHGI_T_3_13
EPA_GHGI_Cornerstone_mobile_combustion,Medium- and Heavy-Duty Trucks - Distillate Fuel Oil,NAICS_2017_Code,S00203,,,EPA_GHGI_T_3_13
EPA_GHGI_Cornerstone_mobile_combustion,Motorcycles,NAICS_2017_Code,F01000,,F01000,"EPA_GHGI_T_3_13, EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Passenger Cars - Households,NAICS_2017_Code,F01000,,F01000,"EPA_GHGI_T_3_13, EPA_GHGI_T_A_97"
EPA_GHGI_Cornerstone_mobile_combustion,Passenger Cars,NAICS_2017_Code,F01000,,F01000,"EPA_GHGI_T_3_13, EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Passenger Cars,NAICS_2017_Code,S00600,,"S00600, GSLGO","EPA_GHGI_T_3_13, EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Passenger Cars,NAICS_2017_Code,GSLGO,,,"EPA_GHGI_T_3_13, EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Passenger Cars,NAICS_2017_Code,491,,491000,"EPA_GHGI_T_3_13, EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Pipeline Natural Gas,NAICS_2017_Code,486,,,EPA_GHGI_T_3_13
EPA_GHGI_Cornerstone_mobile_combustion,Rail,NAICS_2017_Code,482,,482000,"EPA_GHGI_T_3_13, EPA_GHGI_T_3_14, EPA_GHGI_T_3_15, EPA_GHGI_T_A_97"
EPA_GHGI_Cornerstone_mobile_combustion,Recreational Boats,NAICS_2017_Code,F01000,,F01000,EPA_GHGI_T_3_13
EPA_GHGI_Cornerstone_mobile_combustion,Ships and Boats,NAICS_2017_Code,483,,483000,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15, EPA_GHGI_T_A_97"
EPA_GHGI_Cornerstone_mobile_combustion,Ships and Non-Recreational Boats,NAICS_2017_Code,483,,483000,EPA_GHGI_T_3_13
EPA_GHGI_Cornerstone_mobile_combustion,Heavy-Duty Vehicles,NAICS_2017_Code,484,,484000,EPA_GHGI_T_A_90
EPA_GHGI_Cornerstone_mobile_combustion,School and Tour Buses,NAICS_2017_Code,485,,485000,EPA_GHGI_T_A_90
EPA_GHGI_Cornerstone_mobile_combustion,Transit Buses,NAICS_2017_Code,485,,,EPA_GHGI_T_A_90
