ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Note
BEA_NIPA,Carpets and other floor coverings,BEA_2017_Code,326190,,Other plastics product manufacturing
BEA_NIPA,Carpets and other floor coverings,BEA_2017_Code,326290,,Other rubber product manufacturing
BEA_NIPA,Carpets and other floor coverings,BEA_2017_Code,S00402,,Used and secondhand goods
BEA_NIPA,Casino gambling,BEA_2017_Code,713200,,Gambling industries (except casino hotels)
BEA_NIPA,Cellular telephone services,BEA_2017_Code,517210,,Wireless telecommunications carriers (except satellite)
BEA_NIPA,Cellular telephone services,BEA_2017_Code,517A00,,"Satellite, telecommunications resellers, and all other telecommunications"
BEA_NIPA,Cereals,BEA_2017_Code,1111B0,,Grain farming
BEA_NIPA,Cereals,BEA_2017_Code,311210,,Flour milling and malt manufacturing
BEA_NIPA,Cereals,BEA_2017_Code,311224,,Soybean and other oilseed processing
BEA_NIPA,Cereals,BEA_2017_Code,311230,,Breakfast cereal manufacturing
BEA_NIPA,Cereals,BEA_2017_Code,311420,,"Fruit and vegetable canning, pickling, and drying"
BEA_NIPA,Cereals,BEA_2017_Code,3118A0,,"Cookie, cracker, pasta, and tortilla manufacturing"
BEA_NIPA,Cereals,BEA_2017_Code,311990,,All other food manufacturing
BEA_NIPA,Child care,BEA_2017_Code,624400,,Child day care services
BEA_NIPA,Children's and infants' clothing,BEA_2017_Code,314900,,Other textile product mills
BEA_NIPA,Children's and infants' clothing,BEA_2017_Code,315000,,Apparel manufacturing
BEA_NIPA,Children's and infants' clothing,BEA_2017_Code,322291,,Sanitary paper product manufacturing
BEA_NIPA,Children's and infants' clothing,BEA_2017_Code,S00402,,Used and secondhand goods
BEA_NIPA,"Clocks, lamps, lighting fixtures, and other household decorative items",BEA_2017_Code,316000,,Leather and allied product manufacturing
BEA_NIPA,"Clocks, lamps, lighting fixtures, and other household decorative items",BEA_2017_Code,3219A0,,All other wood product manufacturing
BEA_NIPA,"Clocks, lamps, lighting fixtures, and other household decorative items",BEA_2017_Code,323110,,Printing
BEA_NIPA,"Clocks, lamps, lighting fixtures, and other household decorative items",BEA_2017_Code,327100,,Clay product and refractory manufacturing
BEA_NIPA,"Clocks, lamps, lighting fixtures, and other household decorative items",BEA_2017_Code,327200,,Glass and glass product manufacturing
BEA_NIPA,"Clocks, lamps, lighting fixtures, and other household decorative items",BEA_2017_Code,327390,,Other concrete product manufacturing
