ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Notes
BTS_VIUS,Any Body Type,NAICS_2017_Code,55,,
BTS_VIUS,Any Body Type,NAICS_2017_Code,56,,
BTS_VIUS,Any Body Type,NAICS_2017_Code,61,,
BTS_VIUS,Any Body Type,NAICS_2017_Code,62,,
BTS_VIUS,Any Body Type,NAICS_2017_Code,71,,
BTS_VIUS,Any Body Type,NAICS_2017_Code,72,,
BTS_VIUS,Any Body Type,NAICS_2017_Code,81,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,11,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,21,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,22,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,23,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,31,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,32,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,33,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,42,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,44,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,45,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,48,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,49,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,51,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,52,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,53,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,54,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,55,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,56,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,61,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,62,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,71,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,72,,
BTS_VIUS,Some Commercial Use,NAICS_2017_Code,81,,
BTS_VIUS,Personal Use Only,NAICS_2017_Code,F01000,,
