direction,commodity,candidate_usd,reference_usd,status
exports,335220,2826241279.0,2690000000.0,2
exports,335311,430665288.0,522000000.0,2
exports,335312,4747520013.0,4804000000.0,1
exports,335313,4148232551.0,1927000000.0,2
exports,335314,3890669226.0,6821000000.0,2
exports,335911,2851859369.0,2850000000.0,1
exports,335912,675711539.0,790000000.0,2
exports,335920,5615839017.0,5461000000.0,2
exports,335930,4895928816.0,3187000000.0,2
exports,335991,1375573305.0,1347000000.0,2
exports,335999,5799629053.0,4691000000.0,2
exports,336111,7353506649.780576,23537000000.0,2
exports,336112,48357676905.21942,31734000000.0,2
exports,336120,5653819925.0,6512000000.0,2
exports,336211,8586255753.0,1048000000.0,2
exports,336212,1338070547.0,1340000000.0,1
exports,336213,409832936.0,405000000.0,1
exports,336214,830615723.0,1113000000.0,2
exports,336310,9257474673.0,7981000000.0,2
exports,336320,4577112438.0,4387000000.0,2
exports,336350,2998166626.0,6109000000.0,2
exports,336360,1768223058.0,2202000000.0,2
exports,336370,1615520545.0,1782000000.0,2
exports,336390,15214639833.0,27336000000.0,2
exports,3363A0,14223053616.0,4555000000.0,2
exports,336411,61898637874.91715,52720000000.0,2
exports,336412,21476316810.853413,35982000000.0,2
exports,336413,23189275238.67701,22154000000.0,2
exports,336414,9383537091.830723,1899000000.0,2
exports,33641A,4244869421.7216973,1004000000.0,2
exports,336500,2634052505.0,2223000000.0,2
exports,336611,952741511.0,916000000.0,2
exports,336612,857828024.0,1533000000.0,2
exports,336991,1787565454.0,1764000000.0,2
exports,336992,1774142823.0,1883000000.0,2
exports,336999,709204041.0,438000000.0,2
exports,337110,85849427.0,139000000.0,2
exports,337121,475287189.0,486000000.0,2
exports,337122,156270325.0,871000000.0,2
exports,337127,2019197485.0,1716000000.0,2
exports,33712N,288400103.0,128000000.0,2
exports,337215,1137639275.0,840000000.0,2
exports,33721A,308698631.0,394000000.0,2
exports,337900,223901054.0,237000000.0,2
exports,339112,12698989491.0,13061000000.0,2
exports,339113,9241993941.0,9196000000.0,1
exports,339114,1154293510.0,1338000000.0,2
exports,339115,2320070675.0,1606000000.0,2
exports,339116,496827345.0,19000000.0,2
exports,339910,8233543423.0,8292000000.0,1
exports,339920,1893627884.0,1887000000.0,1
exports,339930,1234672128.0,1311000000.0,2
exports,339940,509487959.0,476000000.0,2
exports,339950,107813755.0,347000000.0,2
exports,339990,6670396367.0,7657000000.0,2
